totalAmount,paymentType,itemsCount,totalQuantity,averageItemPrice,discountPercent,orderHour,fraud
13107.284263726473,CASH,14,44,297.8928241756017,0.0,0,1
923.7642217300678,UPI,3,6,153.96070362167796,10.35993572995161,0,0
641.1021991250698,UPI,2,6,106.85036652084496,0.30214043105340815,12,0
2513.235009477012,CASH,4,9,279.2483343863347,14.895715403041741,11,0
2262.6179907127357,UPI,1,5,452.52359814254714,8.269505373098076,20,0
14958.090034817098,CASH,22,65,230.1244620741092,42.023598337589945,2,1
2463.7085332748334,CARD,2,10,246.37085332748333,13.182275262416944,12,0
1500.22456459608,UPI,4,4,375.05614114902,13.538916516514172,8,0
12153.492286431509,CASH,20,58,209.54297045571568,0.0,4,1
251.4070554049807,CARD,3,1,251.4070554049807,10.650016603243053,23,0
318.8464185793812,UPI,1,4,79.7116046448453,11.732994351950685,8,0
2367.5840743924496,CASH,1,9,263.0648971547166,8.650538708914496,10,0
1082.8047937276806,UPI,1,5,216.5609587455361,9.149165078234589,10,0
1378.3662425811613,CARD,3,2,689.1831212905806,2.16292216939443,7,0
1436.0184103786748,CASH,2,3,478.6728034595583,7.012768582170052,14,0
6659.882324478291,CASH,14,76,87.63003058524066,54.041868538431196,2,1
1694.4392446087797,CARD,3,10,169.44392446087798,8.219757378921207,12,0
186.94943616433997,CASH,4,9,20.772159573815554,17.889876680719283,11,0
1713.4052953856262,CARD,5,4,428.35132384640656,12.470181452602771,12,0
14264.152669532074,CASH,23,77,185.24873596794902,0.0,3,1
2922.316278598121,UPI,2,10,292.2316278598121,15.811925362188804,23,0
279.2347831702749,UPI,1,3,93.07826105675831,19.410977681310317,14,0
14312.750656336711,CASH,23,36,397.5764071204642,0.0,1,1
13299.171113431992,CASH,10,49,271.4116553761631,67.935182969944,2,1
5882.5474250471525,CASH,16,57,103.202586404336,60.260391378915045,0,1
2009.3150029964372,CASH,4,6,334.88583383273954,15.093809382947507,7,0
1519.4860490509977,CARD,3,4,379.87151226274943,1.12171551198613,22,0
1794.8637472303858,CASH,4,7,256.409106747198,2.123020622212044,20,0
10822.5504406637,CASH,23,32,338.2047012707406,67.52263571275807,4,1
406.29642495919484,CARD,2,8,50.787053119899355,0.06377961113220643,7,0
1129.9047166718929,CARD,2,5,225.98094333437857,3.093713766803581,20,0
7018.181716097395,CASH,12,48,146.2121190853624,0.0,4,1
1311.5979803401156,CARD,5,1,1311.5979803401156,18.043985643594077,19,0
1632.8522042598863,CARD,4,10,163.28522042598863,10.434135990652493,23,0
12626.059639510342,CASH,12,53,238.22754036811966,0.0,10,1
833.6264331552198,CARD,2,9,92.62515923946887,3.278582352359769,13,0
1192.2268336210548,CARD,4,3,397.40894454035157,3.3139372718330917,12,0
1537.355732491728,CASH,1,1,1537.355732491728,14.185416975235032,18,0
1343.694855489274,UPI,5,1,1343.694855489274,8.335299707148344,9,0
2397.3186500887796,CASH,2,1,2397.3186500887796,0.7715825007834431,13,0
2432.949151609748,CASH,4,7,347.56416451567827,14.512846864884171,3,0
1115.928260833215,CARD,1,6,185.98804347220252,16.002900467463178,4,0
1903.7768275114183,CASH,1,8,237.9721034389273,7.4102759394771915,23,0
1513.2740477238603,CASH,4,9,168.1415608582067,13.16899474569545,8,0
1381.002785374368,CASH,3,9,153.44475393048532,0.872401234977469,3,0
